Frame u v idNr ID Vertex
56 332.57 430.17 2076 20 3
58 166.98 412.14 2084 20 0
58 349.6 377.78 2084 20 1
58 468.33 385.67 2084 20 2
58 337.56 428.48 2084 20 3
60 173.05 412.14 2092 20 0
60 348.3 378.22 2092 20 1
60 470.93 383.93 2092 20 2
60 340.59 427.61 2092 20 3
61 190.39 406.5 2096 20 0
61 362.61 375.61 2096 20 1
61 479.17 381.33 2096 20 2
61 354.03 422.85 2096 20 3
62 195.59 406.5 2100 20 0
62 365.21 374.31 2100 20 1
62 483.5 380.03 2100 20 2
62 358.8 422.85 2100 20 3
63 199.93 405.2 2104 20 0
63 371.71 371.71 2104 20 1
63 483.5 379.6 2104 20 2
63 363.13 419.38 2104 20 3
64 204.26 405.2 2108 20 0
64 365.21 372.58 2108 20 1
64 483.5 380.03 2108 20 2
64 366.17 421.11 2108 20 3
65 208.16 404.33 2112 20 0
65 373.45 372.58 2112 20 1
65 486.54 379.16 2112 20 2
65 370.5 418.94 2112 20 3
66 212.93 403.47 2116 20 0
66 375.18 372.58 2116 20 1
66 486.54 379.16 2116 20 2
66 370.5 418.94 2116 20 3
67 225.07 402.17 2120 20 0
67 374.31 369.54 2120 20 1
67 491.74 377.0 2120 20 2
67 375.27 416.34 2120 20 3
68 227.67 402.17 2124 20 0
68 375.61 369.54 2124 20 1
68 491.74 375.26 2124 20 2
68 382.21 414.18 2124 20 3
69 235.48 400.0 2127 20 0
69 388.62 369.54 2127 20 1
69 496.07 376.13 2127 20 2
69 390.01 412.01 2127 20 3
70 240.68 398.7 2131 20 0
70 391.65 367.81 2131 20 1
70 499.54 373.96 2131 20 2
70 394.78 411.14 2131 20 3
71 249.35 396.1 2135 20 0
71 394.69 368.24 2135 20 1
71 502.58 374.83 2135 20 2
71 396.52 409.41 2135 20 3
72 254.12 396.1 2139 20 0
72 404.23 367.81 2139 20 1
72 503.88 373.09 2139 20 2
72 399.98 408.11 2139 20 3
73 257.15 397.4 2147 20 0
73 407.7 367.81 2147 20 1
73 506.91 373.96 2147 20 2
73 396.95 407.67 2147 20 3
74 272.33 393.93 2151 20 0
74 399.89 367.81 2151 20 1
74 512.11 371.79 2151 20 2
74 412.99 402.9 2151 20 3
76 277.96 392.63 2159 20 0
76 408.13 365.21 2159 20 1
76 515.58 370.49 2159 20 2
76 416.89 401.17 2159 20 3
77 281.86 389.59 2163 20 0
77 412.03 362.17 2163 20 1
77 517.32 368.76 2163 20 2
77 426.0 399.44 2163 20 3
78 288.8 389.16 2167 20 0
78 412.03 362.17 2167 20 1
78 519.05 368.76 2167 20 2
78 426.0 399.44 2167 20 3
79 293.57 388.29 2171 20 0
79 419.4 361.74 2171 20 1
79 522.95 369.19 2171 20 2
79 429.03 398.57 2171 20 3
80 299.64 387.43 2176 20 0
80 426.77 360.01 2176 20 1
80 527.29 368.32 2176 20 2
80 429.03 399.44 2176 20 3
81 302.67 386.12 2184 20 0
81 433.71 358.27 2184 20 1
81 531.62 366.16 2184 20 2
81 434.23 399.0 2184 20 3
82 307.01 384.82 2188 20 0
82 438.04 361.31 2188 20 1
82 531.62 365.72 2188 20 2
82 438.13 396.4 2188 20 3
83 316.55 381.36 2192 20 0
83 448.01 359.14 2192 20 1
83 541.16 364.42 2192 20 2
83 448.11 392.07 2192 20 3
84 320.88 380.06 2196 20 0
84 451.48 357.84 2196 20 1
84 543.76 363.99 2196 20 2
84 456.34 392.07 2196 20 3
85 324.35 380.06 2204 20 0
85 456.68 358.71 2204 20 1
85 544.63 363.56 2204 20 2
85 456.34 392.07 2204 20 3
86 327.82 379.19 2208 20 0
86 460.15 356.97 2208 20 1
86 547.66 363.99 2208 20 2
86 459.81 389.9 2208 20 3
87 336.49 376.59 2212 20 0
87 458.85 355.67 2212 20 1
87 552.86 362.69 2212 20 2
87 469.35 387.3 2212 20 3
88 345.16 377.02 2216 20 0
88 459.28 354.37 2216 20 1
88 557.63 361.39 2216 20 2
88 471.08 388.6 2216 20 3
89 348.19 377.02 2220 20 0
89 459.72 353.5 2220 20 1
89 558.93 360.95 2220 20 2
89 473.25 386.0 2220 20 3
90 353.83 376.15 2224 20 0
90 460.15 353.94 2224 20 1
90 563.27 359.65 2224 20 2
90 478.89 385.13 2224 20 3
91 361.63 374.85 2231 20 0
91 466.22 353.94 2231 20 1
91 564.57 360.09 2231 20 2
91 484.09 383.39 2231 20 3
92 367.27 373.55 2235 20 0
92 472.29 352.64 2235 20 1
92 570.21 358.79 2235 20 2
92 488.86 381.23 2235 20 3
93 369.0 372.25 2239 20 0
93 475.76 350.9 2239 20 1
93 575.41 357.49 2239 20 2
93 491.46 380.79 2239 20 3
94 374.64 370.95 2243 20 0
94 480.96 351.77 2243 20 1
94 581.04 357.05 2243 20 2
94 494.49 379.49 2243 20 3
95 377.24 370.52 2247 20 0
95 482.26 352.2 2247 20 1
95 581.48 357.49 2247 20 2
95 494.06 379.06 2247 20 3
96 382.01 370.52 2251 20 0
96 494.4 351.77 2251 20 1
96 581.91 357.05 2251 20 2
96 488.86 379.93 2251 20 3
97 388.94 368.78 2255 20 0
97 501.77 351.77 2255 20 1
97 586.68 357.05 2255 20 2
97 500.13 377.33 2255 20 3
98 393.28 368.78 2259 20 0
98 506.11 351.77 2259 20 1
98 591.02 356.19 2259 20 2
98 505.76 376.89 2259 20 3
99 393.71 368.78 2263 20 0
99 507.84 351.34 2263 20 1
99 594.05 354.89 2263 20 2
99 506.2 376.02 2263 20 3
100 400.65 367.48 2267 20 0
100 520.85 350.47 2267 20 1
100 594.05 354.89 2267 20 2
100 514.44 376.02 2267 20 3
101 402.82 365.32 2271 20 0
101 520.85 346.13 2271 20 1
101 597.52 354.02 2271 20 2
101 505.33 377.76 2271 20 3
102 407.15 364.01 2276 20 0
102 521.71 347.87 2276 20 1
102 599.69 353.15 2276 20 2
102 512.27 372.99 2276 20 3
103 412.35 364.01 2280 20 0
103 524.31 350.47 2280 20 1
103 605.76 354.89 2280 20 2
103 518.34 372.99 2280 20 3
104 419.29 363.15 2284 20 0
104 523.45 350.47 2284 20 1
104 607.06 355.32 2284 20 2
104 525.27 372.12 2284 20 3
106 421.89 364.88 2292 20 0
106 527.35 349.6 2292 20 1
106 610.52 355.32 2292 20 2
106 524.41 372.56 2292 20 3
107 433.6 360.55 2296 20 0
107 534.72 347.0 2296 20 1
107 621.8 352.72 2296 20 2
107 535.68 368.22 2296 20 3
108 438.8 360.55 2300 20 0
108 540.35 346.13 2300 20 1
108 625.26 351.85 2300 20 2
108 540.88 369.52 2300 20 3
109 442.27 360.55 2304 20 0
109 551.63 348.0 2304 20 1
109 627.0 351.85 2304 20 2
109 544.35 369.52 2304 20 3
110 449.2 360.11 2312 20 0
110 558.56 346.13 2312 20 1
110 633.93 351.42 2312 20 2
110 541.31 369.09 2312 20 3
111 458.74 357.95 2316 20 0
111 567.67 344.83 2316 20 1
111 643.47 349.68 2316 20 2
111 548.68 364.75 2316 20 3
112 462.64 358.38 2324 20 0
112 571.57 345.27 2324 20 1
112 645.64 349.68 2324 20 2
112 555.62 366.05 2324 20 3
113 466.55 357.08 2327 20 0
113 574.17 345.27 2327 20 1
113 646.07 349.25 2327 20 2
113 556.05 365.19 2327 20 3
114 473.05 355.78 2331 20 0
114 580.67 343.97 2331 20 1
114 652.58 348.82 2331 20 2
114 563.42 363.89 2331 20 3
115 480.85 354.48 2335 20 0
115 586.31 342.23 2335 20 1
115 659.08 347.52 2335 20 2
115 571.23 360.85 2335 20 3
116 484.32 354.48 2339 20 0
116 586.31 342.23 2339 20 1
116 659.95 348.38 2339 20 2
116 560.82 361.28 2339 20 3
117 488.66 354.48 2347 20 0
117 591.51 342.67 2347 20 1
117 662.28 347.38 2347 20 2
117 576.43 359.12 2347 20 3
118 500.36 352.74 2351 20 0
118 602.78 340.5 2351 20 1
118 675.29 346.08 2351 20 2
118 590.74 359.98 2351 20 3
119 505.13 351.88 2359 20 0
119 601.91 338.76 2359 20 1
119 677.02 345.65 2359 20 2
119 581.63 359.98 2359 20 3
120 508.6 350.14 2363 20 0
120 604.95 338.33 2363 20 1
120 680.49 345.22 2363 20 2
120 589.0 359.55 2363 20 3
121 517.27 349.27 2367 20 0
121 613.62 337.03 2367 20 1
121 686.13 344.78 2367 20 2
121 598.54 357.82 2367 20 3
122 519.87 348.84 2371 20 0
122 612.75 338.76 2371 20 1
122 690.89 344.78 2371 20 2
122 598.11 357.82 2371 20 3
123 530.27 350.14 2376 20 0
123 617.96 340.93 2376 20 1
123 700.86 344.78 2376 20 2
123 606.78 354.35 2376 20 3
124 533.74 348.84 2380 20 0
124 621.86 337.46 2380 20 1
124 702.6 343.48 2380 20 2
124 610.68 353.91 2380 20 3
125 537.64 348.84 2388 20 0
125 626.19 336.6 2388 20 1
125 706.07 343.05 2388 20 2
125 610.68 354.78 2388 20 3
126 547.61 346.67 2392 20 0
126 635.3 335.73 2392 20 1
126 716.47 343.05 2392 20 2
126 619.35 354.78 2392 20 3
127 554.12 346.67 2396 20 0
127 641.37 337.46 2396 20 1
127 719.94 343.05 2396 20 2
127 623.68 353.48 2396 20 3
128 556.29 346.24 2400 20 0
128 644.83 337.9 2400 20 1
128 723.41 342.61 2400 20 2
128 630.62 351.75 2400 20 3
129 558.45 346.24 2404 20 0
129 647.44 337.03 2404 20 1
129 724.71 342.18 2404 20 2
129 633.66 350.01 2404 20 3
130 562.35 346.24 2412 20 0
130 651.34 337.03 2412 20 1
130 728.61 342.18 2412 20 2
130 633.66 350.45 2412 20 3
130 562.35 346.24 2412 20 0
131 613.08 341.9 2451 20 0
131 774.13 339.15 2451 20 2
131 677.01 346.98 2451 20 3
132 620.01 341.04 2455 20 0
132 781.07 337.85 2455 20 2
132 688.71 345.24 2455 20 3
